max-process;rank;max-size-sequence;max-size-constraint;max-number-constraint;max-fragmentation;total-time;calcul-time;com-time;idleness-time;calcul-rate;com-rate;idleness-rate;nb-message-exchange;size-data-com;size-data-com-in-mb;ssclcs;
9;0;0;0;0;0;0.455456;0.111113;0.318867;0.025476;24.395987;70.010452;5.593561;0;0;0.000000;0;
9;0;0;0;0;0;0.451611;0.109540;0.316910;0.025161;24.255363;70.173149;5.571488;0;0;0.000000;0;
9;0;0;0;0;0;0.453899;0.114115;0.314021;0.025764;25.140925;69.182941;5.676134;0;0;0.000000;0;
9;0;0;0;0;0;0.472528;0.112622;0.334704;0.025202;23.833923;70.832555;5.333522;0;0;0.000000;0;
4;0;512;32;8;0;0.477479;0.111310;0.347595;0.018574;23.312021;72.797993;3.889987;0;0;0.000000;0;
4;0;512;32;8;0;0.455003;0.112153;0.317575;0.025276;24.648776;69.796188;5.555036;0;0;0.000000;0;
4;0;512;32;8;0;0.461045;0.110923;0.324668;0.025454;24.059046;70.419934;5.521019;0;0;0.000000;0;
4;0;512;32;8;0;0.452395;0.110297;0.316746;0.025351;24.380738;70.015494;5.603768;0;0;0.000000;0;
4;0;512;32;8;0;0.441843;0.110738;0.305680;0.025426;25.062691;69.182797;5.754512;0;0;0.000000;0;
4;0;512;32;8;0;0.436993;0.111026;0.300747;0.025221;25.406722;68.821752;5.771526;0;0;0.000000;0;
4;0;512;32;8;0;0.441577;0.114129;0.302331;0.025117;25.845689;68.466236;5.688075;0;0;0.000000;0;
4;0;512;32;8;0;0.444947;0.114834;0.304517;0.025596;25.808432;68.438956;5.752612;0;0;0.000000;0;
4;0;512;32;8;0;0.438252;0.110666;0.301399;0.026187;25.251764;68.772934;5.975301;0;0;0.000000;0;
4;0;512;32;8;0;0.632120;0.191114;0.415335;0.025672;30.233750;65.705057;4.061193;0;0;0.000000;0;
4;0;512;32;8;0;0.438950;0.111379;0.302067;0.025505;25.373914;68.815663;5.810423;0;0;0.000000;0;
4;0;512;32;8;0;0.449023;0.109778;0.306407;0.032838;24.448144;68.238651;7.313205;0;0;0.000000;0;
4;0;512;32;8;0;0.441893;0.110993;0.305293;0.025608;25.117515;69.087407;5.795078;0;0;0.000000;0;
4;0;512;32;8;0;0.441486;0.112084;0.303683;0.025719;25.387800;68.786625;5.825575;0;0;0.000000;0;
4;0;512;32;8;0;0.437424;0.111837;0.300008;0.025579;25.567240;68.585086;5.847674;0;0;0.000000;0;
4;0;512;32;8;0;0.434981;0.111578;0.297965;0.025437;25.651262;68.500861;5.847877;0;0;0.000000;0;
